condition,preset,call_id,trial,seed,length_bin,response_note_count,response_duration_sec,t_endpoint_commit_ms,t_infer_start_ms,t_first_token_ready_ms,t_first_midi_queued_ms,t_first_midi_out_ms,t_response_end_ms,endpoint_to_first_midi_ms,first_token_latency_ms,queue_delay_ms,total_generation_ms,buffer_underrun_count,buffer_underrun_rate,preload_window_ms,micro_buffer_ms,source_latency_event
L0_preload_off,pentatonic_no_theory,A04,3,34263698,short,7,4.800000,0.000000,0.000000,46.540800,46.540800,126.540800,4926.540800,126.540800,46.540800,80.000000,378.269000,0,0.000000,0.000000,80.000000,48
L1_preload_on,pentatonic_no_theory,A04,3,34263698,short,7,4.800000,0.000000,-150.000000,-103.459200,0.000000,80.000000,4880.000000,80.000000,46.540800,80.000000,378.269000,0,0.000000,150.000000,80.000000,48
L0_preload_off,pentatonic_no_theory,A04,4,34264707,short,8,4.800000,0.000000,0.000000,46.391900,46.391900,126.391900,4926.391900,126.391900,46.391900,80.000000,670.364000,0,0.000000,0.000000,80.000000,49
L1_preload_on,pentatonic_no_theory,A04,4,34264707,short,8,4.800000,0.000000,-150.000000,-103.608100,0.000000,80.000000,4880.000000,80.000000,46.391900,80.000000,670.364000,0,0.000000,150.000000,80.000000,49
L0_preload_off,pentatonic_no_theory,A04,5,34265716,medium,10,4.800000,0.000000,0.000000,46.317500,46.317500,126.317500,4926.317500,126.317500,46.317500,80.000000,475.221000,0,0.000000,0.000000,80.000000,50
L1_preload_on,pentatonic_no_theory,A04,5,34265716,medium,10,4.800000,0.000000,-150.000000,-103.682500,0.000000,80.000000,4880.000000,80.000000,46.317500,80.000000,475.221000,0,0.000000,150.000000,80.000000,50
L0_preload_off,pentatonic_no_theory,A04,6,34266725,medium,9,4.800000,0.000000,0.000000,46.235900,46.235900,126.235900,4926.235900,126.235900,46.235900,80.000000,928.769000,0,0.000000,0.000000,80.000000,51
L1_preload_on,pentatonic_no_theory,A04,6,34266725,medium,9,4.800000,0.000000,-150.000000,-103.764100,0.000000,80.000000,4880.000000,80.000000,46.235900,80.000000,928.769000,0,0.000000,150.000000,80.000000,51
L0_preload_off,pentatonic_no_theory,A04,7,34267734,short,8,4.800000,0.000000,0.000000,94.786700,94.786700,174.786700,4974.786700,174.786700,94.786700,80.000000,604.263000,1,1.000000,0.000000,80.000000,52
L1_preload_on,pentatonic_no_theory,A04,7,34267734,short,8,4.800000,0.000000,-150.000000,-55.213300,0.000000,80.000000,4880.000000,80.000000,94.786700,80.000000,604.263000,0,0.000000,150.000000,80.000000,52
L0_preload_off,pentatonic_no_theory,A04,8,34268743,short,7,4.800000,0.000000,0.000000,51.561600,51.561600,131.561600,4931.561600,131.561600,51.561600,80.000000,512.430000,0,0.000000,0.000000,80.000000,53
L1_preload_on,pentatonic_no_theory,A04,8,34268743,short,7,4.800000,0.000000,-150.000000,-98.438400,0.000000,80.000000,4880.000000,80.000000,51.561600,80.000000,512.430000,0,0.000000,150.000000,80.000000,53
L0_preload_off,pentatonic_no_theory,A04,9,34269752,medium,10,4.800000,0.000000,0.000000,46.603800,46.603800,126.603800,4926.603800,126.603800,46.603800,80.000000,800.215000,0,0.000000,0.000000,80.000000,54
L1_preload_on,pentatonic_no_theory,A04,9,34269752,medium,10,4.800000,0.000000,-150.000000,-103.396200,0.000000,80.000000,4880.000000,80.000000,46.603800,80.000000,800.215000,0,0.000000,150.000000,80.000000,54
L0_preload_off,pentatonic_no_theory,A04,10,34270761,short,8,4.800000,0.000000,0.000000,46.465500,46.465500,126.465500,4926.465500,126.465500,46.465500,80.000000,660.448000,0,0.000000,0.000000,80.000000,55
L1_preload_on,pentatonic_no_theory,A04,10,34270761,short,8,4.800000,0.000000,-150.000000,-103.534500,0.000000,80.000000,4880.000000,80.000000,46.465500,80.000000,660.448000,0,0.000000,150.000000,80.000000,55
L0_preload_off,pentatonic_no_theory,A04,11,34271770,short,8,4.800000,0.000000,0.000000,50.016500,50.016500,130.016500,4930.016500,130.016500,50.016500,80.000000,451.061000,0,0.000000,0.000000,80.000000,56
L1_preload_on,pentatonic_no_theory,A04,11,34271770,short,8,4.800000,0.000000,-150.000000,-99.983500,0.000000,80.000000,4880.000000,80.000000,50.016500,80.000000,451.061000,0,0.000000,150.000000,80.000000,56
L0_preload_off,pentatonic_no_theory,A04,12,34272779,medium,10,4.800000,0.000000,0.000000,44.995300,44.995300,124.995300,4924.995300,124.995300,44.995300,80.000000,805.119000,0,0.000000,0.000000,80.000000,57
L1_preload_on,pentatonic_no_theory,A04,12,34272779,medium,10,4.800000,0.000000,-150.000000,-105.004700,0.000000,80.000000,4880.000000,80.000000,44.995300,80.000000,805.119000,0,0.000000,150.000000,80.000000,57
L0_preload_off,pentatonic_no_theory,A04,13,34273788,short,6,4.800000,0.000000,0.000000,47.435300,47.435300,127.435300,4927.435300,127.435300,47.435300,80.000000,499.989000,0,0.000000,0.000000,80.000000,58
L1_preload_on,pentatonic_no_theory,A04,13,34273788,short,6,4.800000,0.000000,-150.000000,-102.564700,0.000000,80.000000,4880.000000,80.000000,47.435300,80.000000,499.989000,0,0.000000,150.000000,80.000000,58
L0_preload_off,pentatonic_no_theory,A04,14,34274797,medium,9,4.800000,0.000000,0.000000,61.777900,61.777900,141.777900,4941.777900,141.777900,61.777900,80.000000,770.814000,0,0.000000,0.000000,80.000000,59
L1_preload_on,pentatonic_no_theory,A04,14,34274797,medium,9,4.800000,0.000000,-150.000000,-88.222100,0.000000,80.000000,4880.000000,80.000000,61.777900,80.000000,770.814000,0,0.000000,150.000000,80.000000,59
L0_preload_off,pentatonic_no_theory,A04,15,34275806,medium,11,4.800000,0.000000,0.000000,65.804900,65.804900,145.804900,4945.804900,145.804900,65.804900,80.000000,678.679000,0,0.000000,0.000000,80.000000,60
